ASV	Taxon	Confidence
ce68b542e50281f0afd8af27f940416d	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__; s__	0.7920591879321779
3d6f762d8cda1915ad93d014e391c118	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae	0.9999957928253166
5c12f20816f2eb94e12904ddde19186c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__colinum	0.9557926025464524
643bd9f3d9bd7a10cae21bd10c15ded1	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__coleohominis	0.858908971614807
d00ff900d7bea9f70bce69bfb8c4ecf4	k__Bacteria	0.8848924398884617
27124ca513572acacbf971eb09a0ac20	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	0.7359519573888482
750a40fc69025a8b1ee7c7e40c4584ad	Unassigned	0.87829561606945
0733bf42976ad60603c281a7397d3fef	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__garvieae	0.995570447088472
44543d9c6bb193c64d38c9bdb6790eec	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__	0.8519313490238926
afed7c51003bb7f3161fbfcdcfa0df43	k__Bacteria	0.8936191937295173
5aff8095366eea78ddecaa596d469e12	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa	0.7352958537691255
1c40ac02c49ea9e03881b0f183373417	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa	0.9543435177248459
03a78b55bc2e81d61c81d25eed44849b	k__Bacteria	0.9403480515055987
58fa3237475101cd37123addae9d30f3	k__Bacteria	0.9210267259170589
033c0b342b5cfa17e58f1c42e1fa38cf	k__Bacteria	0.8905414156538644
7340a1db7109b0bcab3905037d0470b1	k__Bacteria	0.8799909374490844
17434c3be5b8efba92055f3fbefab7cc	k__Bacteria	0.9341318101499873
926c030eec23ee704ff3aba973ef6dbf	k__Bacteria	0.854991114778903
55ba57dbc0666d870e0c5c45a6ab2588	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__butyricum	0.9920506653010805
565e0aef11eaf37d762e419f3d1f6d87	k__Bacteria	0.8762816440188247
cb2fe0146e2fbcb101050edb996a0ee2	k__Bacteria; p__Firmicutes; c__Bacilli	0.9999689727584862
a21ea7db9ddc004c27d892e52eddde32	k__Bacteria	0.9798907544628512
ffa5f71151f49cdf1355f530cd50f7fd	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__butyricum	0.9594310593347684
eb6cded1b44aa4bc52d4fe076766f66d	k__Bacteria	0.8692375101393753
b685f8246fb6fad0fd91574c444b8f51	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__	0.8948997514463419
d29fe3c70564fc0f69f2c03e0d1e5561	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9999990379427273
9185ac3372b3d93b7328a42cbdb0e826	k__Bacteria	0.9156144520475308
20755740e3999594103fcb5de47f547b	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__	0.9909336964575577
9c448b104e5330db9d42cab6f95832ac	k__Bacteria	0.9684795342475059
23cce158246bac26594875653d0da657	k__Bacteria	0.9270160375892035
d2613a43f4ed1dda8a673e7fb251ebef	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__	0.9952044549285309
5427a774c0c8f6aea8b0b283f705f9f1	k__Bacteria	0.9447389055028635
a23f755f73f6440cf7933e88ef008dd1	k__Bacteria	0.9418718648228953
24dfe6a7325e4f2be7dbd522ef613e42	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__	0.8547831743327688
ac53b899d662397905f7c9d194833ee8	k__Bacteria	0.956619986185684
64222ae4c3f0f1cc06375a3814da355d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.7977001770173505
32963fe7e458f9e889bb20256ac53829	k__Bacteria	0.8411492587813529
